case_id,scenario,expected,status,environment,tested_at,evidence
E01,Valid application with and without marketing permission,"Saved once, reference shown, receipt queued; nurture only with permission",not run,,,
E02,"Duplicate click, refresh and network retry",Same submission reference; one record and one acknowledgement,not run,,,
E03,Database unavailable,No false success; form values retained for retry; staff can observe failure,not run,,,
E04,Email outage after save,Lead remains visible; failed outbox item; retry does not create duplicate application,not run,,,
E05,"Existing contact, new enquiry and later application","One person, preserved submission history, correct applicant count",not run,,,
E06,Employer sponsorship and enterprise group,Correct separate routes; sponsor not counted as participant,not run,,,
E07,Consent declined and anonymous visit,No marketing sequence; no invented person or hidden tracking linkage,not run,,,
E08,"UTM, direct return, external referrer and cross-host form",First/submission sources retained as defined; unknown stays unknown,not run,,,
E09,"Reply, meeting booking or unsubscribe before queued send",Pending nurture cancelled; no later automatic restart,not run,,,
E10,"Provider timeout, duplicate/out-of-order callbacks",No duplicate send; suppression cannot be reversed by stale callbacks,not run,,,
E11,Role access and guessed record/export URL,Unauthorised data and mutations denied server-side,not run,,,
E12,"Stage correction, refund and attendance change",Author and reason retained; finance and attendance independently reported,not run,,,
E13,Import conflict and CSV formula-like text,Conflict preview; existing IDs preserved; safe export,not run,,,
E14,Synthetic dashboard dataset,"Totals reconcile to underlying records, dates and currency; no unknown-as-zero",not run,,,
E15,"390px, keyboard, zoom and screen-reader form labels","No covered controls, missing labels or inaccessible error/success feedback",not run,,,
E16,Backup restore and integration disconnect,Restored data verified; stale/error state visible instead of fabricated zero,not run,,,
E17,Public indexing and private administration,Public copy crawlable; admin/API authenticated; no private data in search or analytics,not run,,,
E18,Closure of applications,Application disabled truthfully; enquiries available; queued promotional invitations stopped,not run,,,
