id,copy_version,copy_sha256,strategy_selected,fact_review,asset_approval,approver,approved_at,footage,visual,route_test,publication_authority,published_url
LC-V4-D01,V4.0.0,75533fedfda499247ea4248fe8726a59bc6d642328e99ac99c86cc59a2171a28,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Not applicable,Not applicable,Not granted,
LC-V4-D02,V4.0.0,9fddb81883beba030fd442fcba03465366876a0c0a3809198696024bb7264c12,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Draft first batch,Not run,Not granted,
LC-V4-D03,V4.0.0,286051fd5a08b485e62385292aa208586787836b3db79bde1de86603c50f26e1,2026-09-11 user implementation instruction,Pending,Pending,,,Pending Sunil,Awaiting footage,Not applicable,Not granted,
LC-V4-D04,V4.0.0,46f4d11171cc31fb0f35ccf1eeff155047253881fcd25be326175e50fb5a54cc,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Draft first batch,Not applicable,Not granted,
LC-V4-D05,V4.0.0,08f3f2c55d44f40501bf9533aff83be62c409d9ffdb50d52fbac8826ccbcbcb3,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Draft first batch,Not applicable,Not granted,
LC-V4-D06,V4.0.0,988b2dd8d01d553e5f360db64f947a4dc83944927997f1dd76216e68f686256d,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Draft first batch,Not applicable,Not granted,
LC-V4-D07,V4.0.0,b81e78264e936c8d31df68eef876e47bde562f030c4f5e0fe1226af70013dc48,2026-09-11 user implementation instruction,Pending,Pending,,,Pending Sunil,Awaiting footage,Not run,Not granted,
LC-V4-D08,V4.0.0,3611e55574a2e4e743ee7f9250e3078f5f93a109da3cea857c51b2173325c706,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Draft first batch,Not run,Not granted,
LC-V4-D09,V4.0.0,37c1245ef9bf1fc654529eb4490cb4fa8050b39d509564ee7abf6bf05472b5cc,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Not applicable,Not applicable,Not granted,
LC-V4-D10,V4.0.0,5a68b78435838053f67818d33acbbbbb7f896b03e93a7af1603599b19378e9fa,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D11,V4.0.0,65caa5b26607031c5038fcef0be0ae68f3593be7f10d5487394a4ee21e6de12b,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not applicable,Not granted,
LC-V4-D12,V4.0.0,4cd16858b080a3d1d8b380af1b7d0487d4d117e8fce51cafd8b3c2502a9d5884,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D13,V4.0.0,199073cbb43c74ae68b905674354865e683f6d7fc7ec648a691c4af60298c00a,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Not applicable,Not applicable,Not granted,
LC-V4-D14,V4.0.0,f8d4bd82c846deb8f534680a41015318c96caea5b38c5f18f4dbce98e9aa5ddb,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not applicable,Not granted,
LC-V4-D15,V4.0.0,52f9f1c4f95bc20fb574e6aa76ff9a9170ef33dd700d47871a3d3601b89be19a,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D16,V4.0.0,858a138c579652c8e36e6d1d7f578cbfad781b22a3ccaad76b0228ab1fb96e53,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D17,V4.0.0,be1f2a419bb7ff9a5d81b9397c6cc8ef0f645b5753b912430800225617e2c5c9,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Not applicable,Not applicable,Not granted,
