id,topic,account,format,audience,title,purpose,concern,cta,destination,resource_id,batch,source_page,publish_date,published_url,strategy,copy
LC-V4-D01,1,Sunil,Written,Experienced engineer or technical lead,Roadmap and launch gates,Demonstrate relevant design judgment,I cannot justify a release decision,Practical question,On-post exercise or discussion,,1,4,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D02,1,The Living Craft,Static,Experienced engineer or technical lead,Explain audience and programme outcome,Explain audience and programme outcome,I cannot justify a release decision,Explore programme,https://learning.thelivingcraft.ai,,1,4,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D03,2,Sunil,Video,Experienced engineer or technical lead,Whether an agent is needed,Demonstrate relevant design judgment,I may be adding complexity without a reason,Practical question,On-post exercise or discussion,,1,5,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D04,2,The Living Craft,Carousel,Experienced engineer or technical lead,Demonstrate a use-case review,Demonstrate a use-case review,I may be adding complexity without a reason,Try the review,On-post exercise or discussion,,1,5,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D05,3,Sunil,Carousel,Experienced engineer or technical lead,Model selection,Demonstrate relevant design judgment,I need to defend a model choice,Practical question,On-post exercise or discussion,,1,6,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D06,3,The Living Craft,Carousel,Experienced engineer or technical lead,Demonstrate a reasoned comparison,Demonstrate a reasoned comparison,I need to defend a model choice,Try the review,On-post exercise or discussion,,1,6,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D07,4,Sunil,Video,Experienced engineer or technical lead,Architecture,Demonstrate relevant design judgment,I want to know how a design review helps,Apply,https://learning.thelivingcraft.ai,,1,7,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D08,4,The Living Craft,Carousel,Experienced engineer or technical lead,Show a design-review conversation,Show a design-review conversation,I want to know how a design review helps,Explore programme,https://learning.thelivingcraft.ai,,1,7,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D09,5,Sunil,Written,Experienced engineer or technical lead,Cost control,Demonstrate relevant design judgment,Costs could grow without a useful result,Practical question,On-post exercise or discussion,,2,8,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D10,5,The Living Craft,Carousel,Experienced engineer or technical lead,Introduce cost-ceiling worksheet,Introduce cost-ceiling worksheet,Costs could grow without a useful result,Resource,resource:LC-R01,LC-R01,2,8,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D11,6,Sunil,Carousel,Experienced engineer or technical lead,Learning and memory,Demonstrate relevant design judgment,The system makes assumptions about people,Practical question,On-post exercise or discussion,,2,9,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D12,6,The Living Craft,Static,Experienced engineer or technical lead,Explain building feedback and revision,Explain building feedback and revision,The system makes assumptions about people,Explore programme,https://learning.thelivingcraft.ai,,2,9,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D13,7,Sunil,Written,Experienced engineer or technical lead,Incorrect output,Demonstrate relevant design judgment,Catching a failure does not resolve it,Practical question,On-post exercise or discussion,,2,10,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D14,7,The Living Craft,Carousel,Experienced engineer or technical lead,Review a failure and its limitations,Review a failure and its limitations,Catching a failure does not resolve it,Try the review,On-post exercise or discussion,,2,10,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D15,8,Sunil,Carousel,Experienced engineer or technical lead,Evaluation,Demonstrate relevant design judgment,I cannot explain what passing proves,Apply,https://learning.thelivingcraft.ai,,2,11,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
