id,requirement_reference,state,environment,evidence,tester,tested_at
E01,Retained_Backend/acceptance-register.csv row 1,Not run,,,,
E02,Retained_Backend/acceptance-register.csv row 2,Not run,,,,
E03,Retained_Backend/acceptance-register.csv row 3,Not run,,,,
E04,Retained_Backend/acceptance-register.csv row 4,Not run,,,,
E05,Retained_Backend/acceptance-register.csv row 5,Not run,,,,
E06,Retained_Backend/acceptance-register.csv row 6,Not run,,,,
E07,Retained_Backend/acceptance-register.csv row 7,Not run,,,,
E08,Retained_Backend/acceptance-register.csv row 8,Not run,,,,
E09,Retained_Backend/acceptance-register.csv row 9,Not run,,,,
E10,Retained_Backend/acceptance-register.csv row 10,Not run,,,,
E11,Retained_Backend/acceptance-register.csv row 11,Not run,,,,
E12,Retained_Backend/acceptance-register.csv row 12,Not run,,,,
E13,Retained_Backend/acceptance-register.csv row 13,Not run,,,,
E14,Retained_Backend/acceptance-register.csv row 14,Not run,,,,
E15,Retained_Backend/acceptance-register.csv row 15,Not run,,,,
E16,Retained_Backend/acceptance-register.csv row 16,Not run,,,,
E17,Retained_Backend/acceptance-register.csv row 17,Not run,,,,
E18,Retained_Backend/acceptance-register.csv row 18,Not run,,,,
V4-E01,Attribution across resource to cohort; Ein_Addendum,Not run,,,,
V4-E02,Anonymous and identified request deduplication; Ein_Addendum,Not run,,,,
V4-E03,Database and email failure behaviour; Ein_Addendum,Not run,,,,
V4-E04,Approved resource delivery and mobile/keyboard access; Ein_Addendum,Not run,,,,
V4-E05,Resource permission and nurture separation; Ein_Addendum,Not run,,,,
