post_id,day,topic,audience,format,route,destination,active_version,alternative_status,selected_by,selected_at
LC-OCT-D01,1,The boundary your demo leaves open,Member,Written,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d01,original,pending review,,
LC-OCT-D03,3,Where should an agent stop?,Member,Video,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d03,original,pending review,,
LC-OCT-D05,5,Fit is about responsibility,Member,Carousel,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d05,original,pending review,,
LC-OCT-D07,7,A course choice can be a funding decision,Member,Written,sponsorship,mailto:apply@thelivingcraft.ai?subject=Employer%20funding%20LC-OCT-D07,original,pending review,,
LC-OCT-D09,9,A useful evaluation changes a decision,Member,Carousel,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d09,original,pending review,,
LC-OCT-D11,11,What evidence would you ask for?,Member,Video,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d11,original,pending review,,
LC-OCT-D13,13,A cheaper response can cost more,Member,Written,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d13,original,pending review,,
LC-OCT-D15,15,Feedback should tell you what to do next,Member,Carousel,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d15,original,pending review,,
LC-OCT-D17,17,Give a manager a decision they can make,Member,Written,sponsorship,mailto:apply@thelivingcraft.ai?subject=Employer%20funding%20LC-OCT-D17,original,pending review,,
LC-OCT-D19,19,One team or an industry case?,Engineering sponsor,Carousel,enterprise,mailto:apply@thelivingcraft.ai?subject=Enterprise%20programme%20LC-OCT-D19,original,pending review,,
LC-OCT-D21,21,Before the agent changes something,Member,Video,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d21,original,pending review,,
LC-OCT-D23,23,When self-study may be enough,Member,Written,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d23,original,pending review,,
LC-OCT-D25,25,A useful application explains the starting point,Member,Carousel,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d25,original,pending review,,
LC-OCT-D27,27,Review the team’s next design,Member,Video,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d27,original,pending review,,
LC-OCT-D29,29,Bring a question you can examine,Member,Written,member,https://learning.thelivingcraft.ai/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=cohort_enterprise_v3&utm_content=lc-oct-d29,original,pending review,,
